# Group , DSID , name , tags (tags are not really used for anything in this context)
# Zjets
zjets     , 361487 , Sherpa_CT10_Ztautau_Mll10to40_Pt70_140_BFilter               , p2666_n0225
zjets     , 361488 , Sherpa_CT10_Ztautau_Mll10to40_Pt140_400_BVeto                , p2666_n0225
zjets     , 361489 , Sherpa_CT10_Ztautau_Mll10to40_Pt140_400_BFilter              , p2666_n0225
zjets     , 361490 , Sherpa_CT10_Ztautau_Mll10to40_Pt400_E_CMS_BVeto              , p2666_n0225
zjets     , 361491 , Sherpa_CT10_Ztautau_Mll10to40_Pt400_E_CMS_BFilter            , p2666_n0225
# Wjets                                                                          
wjets     , 363336 , Sherpa_NNPDF30NNLO_Wtaunu_Pt70_140_BFilter                   , e4779_s2726_r7725_r7676_p2613
wjets     , 363337 , Sherpa_NNPDF30NNLO_Wtaunu_Pt140_280_CVetoBVeto               , e4709_s2726_r7725_r7676_p2613
wjets     , 363338 , Sherpa_NNPDF30NNLO_Wtaunu_Pt140_280_CFilterBVeto             , e4709_s2726_r7725_r7676_p2613
wjets     , 363339 , Sherpa_NNPDF30NNLO_Wtaunu_Pt140_280_BFilter                  , e4709_s2726_r7725_r7676_p2613
wjets     , 363340 , Sherpa_NNPDF30NNLO_Wtaunu_Pt280_500_CVetoBVeto               , e4709_s2726_r7725_r7676_p2613
wjets     , 363341 , Sherpa_NNPDF30NNLO_Wtaunu_Pt280_500_CFilterBVeto             , e4779_s2726_r7725_r7676_p2613
wjets     , 363342 , Sherpa_NNPDF30NNLO_Wtaunu_Pt280_500_BFilter                  , e4779_s2726_r7725_r7676_p2613
wjets     , 363343 , Sherpa_NNPDF30NNLO_Wtaunu_Pt500_700_CVetoBVeto               , e4709_s2726_r7725_r7676_p2613
wjets     , 363344 , Sherpa_NNPDF30NNLO_Wtaunu_Pt500_700_CFilterBVeto             , e4709_s2726_r7725_r7676_p2613
wjets     , 363345 , Sherpa_NNPDF30NNLO_Wtaunu_Pt500_700_BFilter                  , e4779_s2726_r7725_r7676_p2613
wjets     , 363346 , Sherpa_NNPDF30NNLO_Wtaunu_Pt700_1000_CVetoBVeto              , e4709_s2726_r7725_r7676_p2613
wjets     , 363347 , Sherpa_NNPDF30NNLO_Wtaunu_Pt700_1000_CFilterBVeto            , e4709_s2726_r7725_r7676_p2613
wjets     , 363348 , Sherpa_NNPDF30NNLO_Wtaunu_Pt700_1000_BFilter                 , e4779_s2726_r7725_r7676_p2613
wjets     , 363349 , Sherpa_NNPDF30NNLO_Wtaunu_Pt1000_2000_CVetoBVeto             , e4709_s2726_r7725_r7676_p2613
wjets     , 363350 , Sherpa_NNPDF30NNLO_Wtaunu_Pt1000_2000_CFilterBVeto           , e4709_s2726_r7725_r7676_p2613
wjets     , 363351 , Sherpa_NNPDF30NNLO_Wtaunu_Pt1000_2000_BFilter                , e4779_s2726_r7725_r7676_p2613
wjets     , 363352 , Sherpa_NNPDF30NNLO_Wtaunu_Pt2000_E_CMS_CVetoBVeto            , e4709_s2726_r7725_r7676_p2613
wjets     , 363353 , Sherpa_NNPDF30NNLO_Wtaunu_Pt2000_E_CMS_CFilterBVeto          , e4709_s2726_r7725_r7676_p2613
wjets     , 363354 , Sherpa_NNPDF30NNLO_Wtaunu_Pt2000_E_CMS_BFilter               , e4709_s2726_r7725_r7676_p2613
wjets     , 363436 , Sherpa_NNPDF30NNLO_Wmunu_Pt0_70_CVetoBVeto                   , e4715_s2726_r7725_r7676_p2613
wjets     , 363437 , Sherpa_NNPDF30NNLO_Wmunu_Pt0_70_CFilterBVeto                 , e4715_s2726_r7725_r7676_p2613
wjets     , 363438 , Sherpa_NNPDF30NNLO_Wmunu_Pt0_70_BFilter                      , e4715_s2726_r7725_r7676_p2613
wjets     , 363439 , Sherpa_NNPDF30NNLO_Wmunu_Pt70_140_CVetoBVeto                 , e4715_s2726_r7725_r7676_p2613
wjets     , 363440 , Sherpa_NNPDF30NNLO_Wmunu_Pt70_140_CFilterBVeto               , e4715_s2726_r7725_r7676_p2613
wjets     , 363441 , Sherpa_NNPDF30NNLO_Wmunu_Pt70_140_BFilter                    , e4771_s2726_r7725_r7676_p2613
wjets     , 363442 , Sherpa_NNPDF30NNLO_Wmunu_Pt140_280_CVetoBVeto                , e4715_s2726_r7725_r7676_p2613
wjets     , 363443 , Sherpa_NNPDF30NNLO_Wmunu_Pt140_280_CFilterBVeto              , e4715_s2726_r7725_r7676_p2613
wjets     , 363444 , Sherpa_NNPDF30NNLO_Wmunu_Pt140_280_BFilter                   , e4715_s2726_r7725_r7676_p2613
wjets     , 363445 , Sherpa_NNPDF30NNLO_Wmunu_Pt280_500_CVetoBVeto                , e4715_s2726_r7725_r7676_p2613
wjets     , 363446 , Sherpa_NNPDF30NNLO_Wmunu_Pt280_500_CFilterBVeto              , e4715_s2726_r7725_r7676_p2613
wjets     , 363447 , Sherpa_NNPDF30NNLO_Wmunu_Pt280_500_BFilter                   , e4715_s2726_r7725_r7676_p2613
wjets     , 363448 , Sherpa_NNPDF30NNLO_Wmunu_Pt500_700_CVetoBVeto                , e4715_s2726_r7725_r7676_p2613
wjets     , 363449 , Sherpa_NNPDF30NNLO_Wmunu_Pt500_700_CFilterBVeto              , e4715_s2726_r7725_r7676_p2613
wjets     , 363450 , Sherpa_NNPDF30NNLO_Wmunu_Pt500_700_BFilter                   , e4715_s2726_r7725_r7676_p2613
wjets     , 363451 , Sherpa_NNPDF30NNLO_Wmunu_Pt700_1000_CVetoBVeto               , e4715_s2726_r7725_r7676_p2613
wjets     , 363452 , Sherpa_NNPDF30NNLO_Wmunu_Pt700_1000_CFilterBVeto             , e4715_s2726_r7725_r7676_p2613
wjets     , 363453 , Sherpa_NNPDF30NNLO_Wmunu_Pt700_1000_BFilter                  , e4715_s2726_r7725_r7676_p2613
wjets     , 363454 , Sherpa_NNPDF30NNLO_Wmunu_Pt1000_2000_CVetoBVeto              , e4715_s2726_r7725_r7676_p2613
wjets     , 363455 , Sherpa_NNPDF30NNLO_Wmunu_Pt1000_2000_CFilterBVeto            , e4715_s2726_r7725_r7676_p2613
wjets     , 363456 , Sherpa_NNPDF30NNLO_Wmunu_Pt1000_2000_BFilter                 , e4715_s2726_r7725_r7676_p2613
wjets     , 363457 , Sherpa_NNPDF30NNLO_Wmunu_Pt2000_E_CMS_CVetoBVeto             , e4715_s2726_r7725_r7676_p2613
wjets     , 363458 , Sherpa_NNPDF30NNLO_Wmunu_Pt2000_E_CMS_CFilterBVeto           , e4715_s2726_r7725_r7676_p2613
wjets     , 363459 , Sherpa_NNPDF30NNLO_Wmunu_Pt2000_E_CMS_BFilter                , e4715_s2726_r7725_r7676_p2613
wjets     , 363460 , Sherpa_NNPDF30NNLO_Wenu_Pt0_70_CVetoBVeto                    , e4715_s2726_r7725_r7676_p2613
wjets     , 363461 , Sherpa_NNPDF30NNLO_Wenu_Pt0_70_CFilterBVeto                  , e4715_s2726_r7725_r7676_p2613
wjets     , 363462 , Sherpa_NNPDF30NNLO_Wenu_Pt0_70_BFilter                       , e4715_s2726_r7725_r7676_p2613
wjets     , 363463 , Sherpa_NNPDF30NNLO_Wenu_Pt70_140_CVetoBVeto                  , e4715_s2726_r7725_r7676_p2613
wjets     , 363464 , Sherpa_NNPDF30NNLO_Wenu_Pt70_140_CFilterBVeto                , e4715_s2726_r7725_r7676_p2613
wjets     , 363465 , Sherpa_NNPDF30NNLO_Wenu_Pt70_140_BFilter                     , e4715_s2726_r7725_r7676_p2613
wjets     , 363466 , Sherpa_NNPDF30NNLO_Wenu_Pt140_280_CVetoBVeto                 , e4715_s2726_r7725_r7676_p2613
wjets     , 363467 , Sherpa_NNPDF30NNLO_Wenu_Pt140_280_CFilterBVeto               , e4715_s2726_r7725_r7676_p2613
wjets     , 363468 , Sherpa_NNPDF30NNLO_Wenu_Pt140_280_BFilter                    , e4715_s2726_r7725_r7676_p2613
wjets     , 363469 , Sherpa_NNPDF30NNLO_Wenu_Pt280_500_CVetoBVeto                 , e4715_s2726_r7725_r7676_p2613
wjets     , 363470 , Sherpa_NNPDF30NNLO_Wenu_Pt280_500_CFilterBVeto               , e4715_s2726_r7725_r7676_p2613
wjets     , 363471 , Sherpa_NNPDF30NNLO_Wenu_Pt280_500_BFilter                    , e4715_s2726_r7725_r7676_p2613
wjets     , 363472 , Sherpa_NNPDF30NNLO_Wenu_Pt500_700_CVetoBVeto                 , e4715_s2726_r7725_r7676_p2613
wjets     , 363473 , Sherpa_NNPDF30NNLO_Wenu_Pt500_700_CFilterBVeto               , e4715_s2726_r7725_r7676_p2613
wjets     , 363474 , Sherpa_NNPDF30NNLO_Wenu_Pt500_700_BFilter                    , e4771_s2726_r7725_r7676_p2613
wjets     , 363475 , Sherpa_NNPDF30NNLO_Wenu_Pt700_1000_CVetoBVeto                , e4715_s2726_r7725_r7676_p2613
wjets     , 363476 , Sherpa_NNPDF30NNLO_Wenu_Pt700_1000_CFilterBVeto              , e4715_s2726_r7725_r7676_p2613
wjets     , 363477 , Sherpa_NNPDF30NNLO_Wenu_Pt700_1000_BFilter                   , e4715_s2726_r7725_r7676_p2613
wjets     , 363478 , Sherpa_NNPDF30NNLO_Wenu_Pt1000_2000_CVetoBVeto               , e4715_s2726_r7725_r7676_p2613
wjets     , 363479 , Sherpa_NNPDF30NNLO_Wenu_Pt1000_2000_CFilterBVeto             , e4715_s2726_r7725_r7676_p2613
wjets     , 363480 , Sherpa_NNPDF30NNLO_Wenu_Pt1000_2000_BFilter                  , e4715_s2726_r7725_r7676_p2613
wjets     , 363481 , Sherpa_NNPDF30NNLO_Wenu_Pt2000_E_CMS_CVetoBVeto              , e4715_s2726_r7725_r7676_p2613
wjets     , 363482 , Sherpa_NNPDF30NNLO_Wenu_Pt2000_E_CMS_CFilterBVeto            , e4715_s2726_r7772_r7676_p2613
wjets     , 363483 , Sherpa_NNPDF30NNLO_Wenu_Pt2000_E_CMS_BFilter                 , e4715_s2726_r7725_r7676_p2613
# Dibosons
dibosons  , 361063 , Sherpa_CT10_llll                                             , e3836_s2608_s2183_r7725_r7676_p2613
dibosons  , 361064 , Sherpa_CT10_lllvSFMinus                                      , e3836_s2608_s2183_r7725_r7676_p2613
dibosons  , 361065 , Sherpa_CT10_lllvOFMinus                                      , e3836_s2608_s2183_r7725_r7676_p2613
dibosons  , 361066 , Sherpa_CT10_lllvSFPlus                                       , e3836_s2608_s2183_r7725_r7676_p2613
dibosons  , 361067 , Sherpa_CT10_lllvOFPlus                                       , e3836_s2608_s2183_r7725_r7676_p2613
dibosons  , 361068 , Sherpa_CT10_llvv                                             , e3836_s2608_s2183_r7725_r7676_p2613
dibosons  , 361071 , Sherpa_CT10_lllvjj_EW6                                       , e3836_s2608_s2183_r7772_r7676_p2613
dibosons  , 361072 , Sherpa_CT10_lllljj_EW6                                       , e3836_s2608_s2183_r7772_r7676_p2613
dibosons  , 361073 , Sherpa_CT10_ggllll                                           , e3836_s2608_s2183_r7772_r7676_p2613
dibosons  , 361077 , Sherpa_CT10_ggllvv                                           , e3836_s2608_s2183_r7772_r7676_p2613
dibosons  , 361084 , Sherpa_CT10_WqqZll                                           , e3836_s2608_s2183_r7772_r7676_p2613
